T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,,Vol%,,,,
,,,,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite
270.55,242.578,1.04293,825.743,0,0,0.00626149,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.5,235.724,1.04396,833.247,0,0,0.0125712,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.45,229.239,1.045,840.347,0,0,0.0185482,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.4,223.095,1.04603,847.074,0,0,0.0242171,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.35,217.266,1.04706,853.457,0,0,0.0296024,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.3,211.729,1.04809,859.521,0,0,0.0347253,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.25,206.462,1.04912,865.288,0,0,0.0396048,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.2,201.447,1.05016,870.78,0,0,0.0442582,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.15,196.667,1.05119,876.016,0,0,0.0487008,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.1,192.105,1.05222,881.012,0,0,0.0529471,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.05,187.747,1.05325,885.785,0,0,0.0570107,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270,183.377,1.05424,890.543,0,0,0.0610144,0,0.0296781,0.0%,0.0%,67.3%,0.0%,32.7%
269.95,176.273,1.05462,897.868,0,0,0.0664075,0,0.495808,0.0%,0.0%,11.8%,0.0%,88.2%
269.9,169.715,1.05501,904.631,0,0,0.0713637,0,0.925655,0.0%,0.0%,7.2%,0.0%,92.8%
269.85,163.643,1.05539,910.893,0,0,0.0759316,0,1.32325,0.0%,0.0%,5.4%,0.0%,94.6%
269.8,158.005,1.05578,916.708,0,0,0.080153,0,1.69203,0.0%,0.0%,4.5%,0.0%,95.5%
269.75,152.755,1.05616,922.123,0,0,0.0840651,0,2.03507,0.0%,0.0%,4.0%,0.0%,96.0%
269.7,147.855,1.05655,927.177,0,0,0.0876982,0,2.35489,0.0%,0.0%,3.6%,0.0%,96.4%
269.65,143.27,1.05694,931.906,0,0,0.09108,0,2.65377,0.0%,0.0%,3.3%,0.0%,96.7%
269.6,138.972,1.05733,936.34,0,0,0.0942339,0,2.93365,0.0%,0.0%,3.1%,0.0%,96.9%
269.55,134.934,1.05771,940.506,0,0,0.0971816,0,3.19633,0.0%,0.0%,3.0%,0.0%,97.0%
269.5,131.133,1.0581,944.428,0,0,0.0999412,0,3.4433,0.0%,0.0%,2.8%,0.0%,97.2%
269.45,127.549,1.05849,948.127,0,0,0.102529,0,3.6759,0.0%,0.0%,2.7%,0.0%,97.3%
269.4,124.163,1.05888,951.62,0,0,0.104959,0,3.89534,0.0%,0.0%,2.6%,0.0%,97.4%
269.35,120.96,1.05927,954.926,0,0,0.107245,0,4.10269,0.0%,0.0%,2.5%,0.0%,97.5%
269.3,117.926,1.05966,958.058,0,0,0.109398,0,4.29892,0.0%,0.0%,2.5%,0.0%,97.5%
269.25,115.046,1.06005,961.03,0,0,0.111429,0,4.48488,0.0%,0.0%,2.4%,0.0%,97.6%
269.2,112.31,1.06045,963.855,0,0,0.113347,0,4.66136,0.0%,0.0%,2.4%,0.0%,97.6%
269.15,109.707,1.06084,966.542,0,0,0.11516,0,4.82904,0.0%,0.0%,2.3%,0.0%,97.7%
269.1,107.228,1.06123,969.101,0,0,0.116876,0,4.98856,0.0%,0.0%,2.3%,0.0%,97.7%
269.05,104.863,1.06162,971.543,0,0,0.118501,0,5.14049,0.0%,0.0%,2.3%,0.0%,97.7%
269,102.606,1.06202,973.873,0,0,0.120043,0,5.28535,0.0%,0.0%,2.2%,0.0%,97.8%
268.95,100.449,1.06241,976.101,0,0,0.121507,0,5.42361,0.0%,0.0%,2.2%,0.0%,97.8%
268.9,98.3851,1.0628,978.233,0,0,0.122897,0,5.55571,0.0%,0.0%,2.2%,0.0%,97.8%
268.85,96.4087,1.0632,980.274,0,0,0.124219,0,5.68204,0.0%,0.0%,2.1%,0.0%,97.9%
268.8,94.5144,1.06359,982.23,0,0,0.125478,0,5.80296,0.0%,0.0%,2.1%,0.0%,97.9%
268.75,92.6971,1.06399,984.108,0,0,0.126676,0,5.91881,0.0%,0.0%,2.1%,0.0%,97.9%
268.7,90.9522,1.06438,985.91,0,0,0.127819,0,6.0299,0.0%,0.0%,2.1%,0.0%,97.9%
268.65,89.2755,1.06478,987.643,0,0,0.128908,0,6.1365,0.0%,0.0%,2.1%,0.0%,97.9%
268.6,87.663,1.06517,989.309,0,0,0.129948,0,6.23888,0.0%,0.0%,2.0%,0.0%,98.0%
268.55,86.111,1.06557,990.913,0,0,0.130941,0,6.33728,0.0%,0.0%,2.0%,0.0%,98.0%
268.5,84.6163,1.06596,992.457,0,0,0.13189,0,6.43195,0.0%,0.0%,2.0%,0.0%,98.0%
268.45,83.1757,1.06636,993.946,0,0,0.132796,0,6.523,0.0%,0.0%,2.0%,0.0%,98.0%
268.4,81.7862,1.06675,995.383,0,0,0.133665,0,6.61079,0.0%,0.0%,2.0%,0.0%,98.0%
268.35,80.4455,1.06715,996.768,0,0,0.134495,0,6.69526,0.0%,0.0%,2.0%,0.0%,98.0%
268.3,79.1507,1.06755,998.107,0,0,0.13529,0,6.77678,0.0%,0.0%,2.0%,0.0%,98.0%
268.25,77.8995,1.06794,999.4,0,0,0.136052,0,6.85543,0.0%,0.0%,1.9%,0.0%,98.1%
268.2,76.6899,1.06834,1000.65,0,0,0.136782,0,6.93137,0.0%,0.0%,1.9%,0.0%,98.1%
268.15,75.5198,1.06874,1001.86,0,0,0.137481,0,7.00468,0.0%,0.0%,1.9%,0.0%,98.1%
268.1,74.3871,1.06913,1003.03,0,0,0.138153,0,7.07562,0.0%,0.0%,1.9%,0.0%,98.1%
268.05,73.2903,1.06953,1004.17,0,0,0.138797,0,7.14416,0.0%,0.0%,1.9%,0.0%,98.1%
268,72.2275,1.06992,1005.27,0,0,0.139416,0,7.21054,0.0%,0.0%,1.9%,0.0%,98.1%
267.95,71.1973,1.07032,1006.33,0,0,0.14001,0,7.2747,0.0%,0.0%,1.9%,0.0%,98.1%
267.9,70.1982,1.07072,1007.37,0,0,0.14058,0,7.33686,0.0%,0.0%,1.9%,0.0%,98.1%
267.85,69.2287,1.07112,1008.37,0,0,0.141128,0,7.39711,0.0%,0.0%,1.9%,0.0%,98.1%
267.8,68.2876,1.07151,1009.34,0,0,0.141655,0,7.4555,0.0%,0.0%,1.9%,0.0%,98.1%
267.75,67.3737,1.07191,1010.29,0,0,0.142161,0,7.51209,0.0%,0.0%,1.9%,0.0%,98.1%
267.7,66.4857,1.07231,1011.21,0,0,0.142648,0,7.56702,0.0%,0.0%,1.9%,0.0%,98.1%
267.65,65.6226,1.07271,1012.1,0,0,0.143117,0,7.62035,0.0%,0.0%,1.8%,0.0%,98.2%
267.6,64.7833,1.07311,1012.97,0,0,0.143567,0,7.67207,0.0%,0.0%,1.8%,0.0%,98.2%
267.55,63.9669,1.0735,1013.81,0,0,0.144001,0,7.72236,0.0%,0.0%,1.8%,0.0%,98.2%
267.5,63.1724,1.0739,1014.64,0,0,0.144418,0,7.77121,0.0%,0.0%,1.8%,0.0%,98.2%
267.45,62.3991,1.0743,1015.44,0,0,0.14482,0,7.81867,0.0%,0.0%,1.8%,0.0%,98.2%
267.4,61.6459,1.07469,1016.22,0,0,0.145207,0,7.86482,0.0%,0.0%,1.8%,0.0%,98.2%
267.35,60.9122,1.07509,1016.98,0,0,0.145579,0,7.90973,0.0%,0.0%,1.8%,0.0%,98.2%
267.3,60.1972,1.07549,1017.72,0,0,0.145938,0,7.95339,0.0%,0.0%,1.8%,0.0%,98.2%
267.25,59.5003,1.07589,1018.44,0,0,0.146283,0,7.99592,0.0%,0.0%,1.8%,0.0%,98.2%
267.2,58.8206,1.07628,1019.14,0,0,0.146616,0,8.03729,0.0%,0.0%,1.8%,0.0%,98.2%
267.15,58.1576,1.07668,1019.83,0,0,0.146937,0,8.0776,0.0%,0.0%,1.8%,0.0%,98.2%
267.1,57.5108,1.07708,1020.5,0,0,0.147246,0,8.1169,0.0%,0.0%,1.8%,0.0%,98.2%
267.05,56.8794,1.07747,1021.15,0,0,0.147544,0,8.15516,0.0%,0.0%,1.8%,0.0%,98.2%
267,56.2629,1.07787,1021.79,0,0,0.14783,0,8.19246,0.0%,0.0%,1.8%,0.0%,98.2%
266.95,55.6609,1.07827,1022.42,0,0,0.148107,0,8.22886,0.0%,0.0%,1.8%,0.0%,98.2%
266.9,55.0728,1.07866,1023.03,0,0,0.148373,0,8.26432,0.0%,0.0%,1.8%,0.0%,98.2%
266.85,54.4982,1.07906,1023.62,0,0,0.14863,0,8.29893,0.0%,0.0%,1.8%,0.0%,98.2%
266.8,53.9365,1.07946,1024.2,0,0,0.148878,0,8.3327,0.0%,0.0%,1.8%,0.0%,98.2%
266.75,53.3874,1.07986,1024.77,0,0,0.149116,0,8.36565,0.0%,0.0%,1.8%,0.0%,98.2%
266.7,52.8504,1.08025,1025.33,0,0,0.149346,0,8.39784,0.0%,0.0%,1.7%,0.0%,98.3%
266.65,52.3251,1.08065,1025.88,0,0,0.149568,0,8.42927,0.0%,0.0%,1.7%,0.0%,98.3%
266.6,51.8112,1.08104,1026.41,0,0,0.149782,0,8.45997,0.0%,0.0%,1.7%,0.0%,98.3%
266.55,51.3083,1.08144,1026.93,0,0,0.149987,0,8.48996,0.0%,0.0%,1.7%,0.0%,98.3%
266.5,50.816,1.08184,1027.44,0,0,0.150186,0,8.51927,0.0%,0.0%,1.7%,0.0%,98.3%
266.45,50.3341,1.08223,1027.94,0,0,0.150377,0,8.54792,0.0%,0.0%,1.7%,0.0%,98.3%
266.4,49.8621,1.08263,1028.43,0,0,0.150561,0,8.57593,0.0%,0.0%,1.7%,0.0%,98.3%
266.35,49.3998,1.08302,1028.91,0,0,0.150739,0,8.60332,0.0%,0.0%,1.7%,0.0%,98.3%
266.3,48.9468,1.08342,1029.38,0,0,0.150909,0,8.63011,0.0%,0.0%,1.7%,0.0%,98.3%
266.25,48.503,1.08381,1029.84,0,0,0.151074,0,8.65631,0.0%,0.0%,1.7%,0.0%,98.3%
266.2,48.068,1.08421,1030.29,0,0,0.151233,0,8.68195,0.0%,0.0%,1.7%,0.0%,98.3%
266.15,47.6416,1.08461,1030.73,0,0,0.151385,0,8.70705,0.0%,0.0%,1.7%,0.0%,98.3%
266.1,47.2234,1.085,1031.17,0,0,0.151532,0,8.73162,0.0%,0.0%,1.7%,0.0%,98.3%
266.05,46.8134,1.08539,1031.59,0,0,0.151674,0,8.75567,0.0%,0.0%,1.7%,0.0%,98.3%
266,46.4111,1.08579,1032.01,0,0,0.15181,0,8.77922,0.0%,0.0%,1.7%,0.0%,98.3%
265.95,46.0165,1.08618,1032.42,0,0,0.151941,0,8.80228,0.0%,0.0%,1.7%,0.0%,98.3%
265.9,45.6293,1.08658,1032.82,0,0,0.152066,0,8.82488,0.0%,0.0%,1.7%,0.0%,98.3%
265.85,45.2493,1.08697,1033.22,0,0,0.152188,0,8.84701,0.0%,0.0%,1.7%,0.0%,98.3%
265.8,44.8763,1.08737,1033.61,0,0,0.152304,0,8.86869,0.0%,0.0%,1.7%,0.0%,98.3%
265.75,44.5101,1.08776,1033.99,0,0,0.152416,0,8.88997,0.0%,0.0%,1.7%,0.0%,98.3%
265.7,44.1505,1.08815,1034.36,0,0,0.152523,0,8.91081,0.0%,0.0%,1.7%,0.0%,98.3%
265.65,43.7974,1.08855,1034.73,0,0,0.152626,0,8.93124,0.0%,0.0%,1.7%,0.0%,98.3%
265.6,43.4505,1.08894,1035.09,0,0,0.152725,0,8.95128,0.0%,0.0%,1.7%,0.0%,98.3%
265.55,43.1097,1.08933,1035.44,0,0,0.15282,0,8.97092,0.0%,0.0%,1.7%,0.0%,98.3%
265.5,42.7749,1.08973,1035.79,0,0,0.152911,0,8.99018,0.0%,0.0%,1.7%,0.0%,98.3%
265.45,42.4459,1.09012,1036.13,0,0,0.152999,0,9.0091,0.0%,0.0%,1.7%,0.0%,98.3%
265.4,42.1225,1.09051,1036.47,0,0,0.153082,0,9.02766,0.0%,0.0%,1.7%,0.0%,98.3%
265.35,41.8046,1.0909,1036.8,0,0,0.153163,0,9.04586,0.0%,0.0%,1.7%,0.0%,98.3%
265.3,41.4921,1.0913,1037.12,0,0,0.153239,0,9.06372,0.0%,0.0%,1.7%,0.0%,98.3%
265.25,41.1848,1.09169,1037.44,0,0,0.153313,0,9.08126,0.0%,0.0%,1.7%,0.0%,98.3%
265.2,40.8825,1.09208,1037.76,0,0,0.153383,0,9.09847,0.0%,0.0%,1.7%,0.0%,98.3%
265.15,40.5853,1.09247,1038.06,0,0,0.153449,0,9.11538,0.0%,0.0%,1.7%,0.0%,98.3%
265.1,40.2928,1.09286,1038.37,0,0,0.153513,0,9.13197,0.0%,0.0%,1.7%,0.0%,98.3%
265.05,40.0051,1.09325,1038.67,0,0,0.153574,0,9.14827,0.0%,0.0%,1.7%,0.0%,98.3%
265,39.7221,1.09364,1038.96,0,0,0.153632,0,9.16429,0.0%,0.0%,1.6%,0.0%,98.4%
264.95,39.4436,1.09403,1039.25,0,0,0.153687,0,9.18005,0.0%,0.0%,1.6%,0.0%,98.4%
264.9,39.1693,1.09443,1039.54,0,0,0.15374,0,9.19546,0.0%,0.0%,1.6%,0.0%,98.4%
264.85,38.8995,1.09481,1039.82,0,0,0.153789,0,9.21066,0.0%,0.0%,1.6%,0.0%,98.4%
264.8,38.6338,1.0952,1040.09,0,0,0.153837,0,9.22558,0.0%,0.0%,1.6%,0.0%,98.4%
264.75,38.3722,1.09559,1040.37,0,0,0.153881,0,9.24024,0.0%,0.0%,1.6%,0.0%,98.4%
264.7,38.1146,1.09598,1040.63,0,0,0.153923,0,9.25465,0.0%,0.0%,1.6%,0.0%,98.4%
264.65,37.8609,1.09637,1040.9,0,0,0.153963,0,9.26883,0.0%,0.0%,1.6%,0.0%,98.4%
264.6,37.611,1.09676,1041.16,0,0,0.154001,0,9.28276,0.0%,0.0%,1.6%,0.0%,98.4%
264.55,37.3649,1.09715,1041.42,0,0,0.154036,0,9.29647,0.0%,0.0%,1.6%,0.0%,98.4%
264.5,37.1225,1.09754,1041.67,0,0,0.154069,0,9.30995,0.0%,0.0%,1.6%,0.0%,98.4%
264.45,36.8837,1.09792,1041.92,0,0,0.1541,0,9.32322,0.0%,0.0%,1.6%,0.0%,98.4%
264.4,36.6482,1.09831,1042.16,0,0,0.154129,0,9.33623,0.0%,0.0%,1.6%,0.0%,98.4%
264.35,36.4162,1.0987,1042.4,0,0,0.154156,0,9.34905,0.0%,0.0%,1.6%,0.0%,98.4%
264.3,36.1875,1.09909,1042.64,0,0,0.154181,0,9.36167,0.0%,0.0%,1.6%,0.0%,98.4%
264.25,35.9622,1.09947,1042.88,0,0,0.154204,0,9.37408,0.0%,0.0%,1.6%,0.0%,98.4%
264.2,35.74,1.09986,1043.11,0,0,0.154225,0,9.3863,0.0%,0.0%,1.6%,0.0%,98.4%
264.15,35.521,1.10025,1043.34,0,0,0.154244,0,9.39832,0.0%,0.0%,1.6%,0.0%,98.4%
264.1,35.305,1.10063,1043.56,0,0,0.154262,0,9.41016,0.0%,0.0%,1.6%,0.0%,98.4%
264.05,35.092,1.10102,1043.78,0,0,0.154278,0,9.42178,0.0%,0.0%,1.6%,0.0%,98.4%
264,34.882,1.10141,1044,0,0,0.154292,0,9.43325,0.0%,0.0%,1.6%,0.0%,98.4%
263.95,34.6749,1.10179,1044.22,0,0,0.154305,0,9.44454,0.0%,0.0%,1.6%,0.0%,98.4%
263.9,34.4705,1.10218,1044.43,0,0,0.154316,0,9.45565,0.0%,0.0%,1.6%,0.0%,98.4%
263.85,34.269,1.10256,1044.64,0,0,0.154325,0,9.46659,0.0%,0.0%,1.6%,0.0%,98.4%
263.8,34.0701,1.10295,1044.85,0,0,0.154333,0,9.47737,0.0%,0.0%,1.6%,0.0%,98.4%
263.75,33.8739,1.10333,1045.05,0,0,0.15434,0,9.48798,0.0%,0.0%,1.6%,0.0%,98.4%
263.7,33.6803,1.10371,1045.25,0,0,0.154345,0,9.49843,0.0%,0.0%,1.6%,0.0%,98.4%
263.65,33.4893,1.1041,1045.45,0,0,0.154349,0,9.50872,0.0%,0.0%,1.6%,0.0%,98.4%
263.6,33.3008,1.10448,1045.65,0,0,0.154351,0,9.51887,0.0%,0.0%,1.6%,0.0%,98.4%
263.55,33.1147,1.10487,1045.84,0,0,0.154352,0,9.52886,0.0%,0.0%,1.6%,0.0%,98.4%
263.5,32.931,1.10525,1046.04,0,0,0.154352,0,9.5387,0.0%,0.0%,1.6%,0.0%,98.4%
263.45,32.7496,1.10563,1046.22,0,0,0.15435,0,9.54841,0.0%,0.0%,1.6%,0.0%,98.4%
263.4,32.5706,1.10601,1046.41,0,0,0.154348,0,9.55795,0.0%,0.0%,1.6%,0.0%,98.4%
263.35,32.3939,1.10639,1046.6,0,0,0.154344,0,9.56739,0.0%,0.0%,1.6%,0.0%,98.4%
263.3,32.2193,1.10678,1046.78,0,0,0.154339,0,9.57667,0.0%,0.0%,1.6%,0.0%,98.4%
263.25,32.047,1.10716,1046.96,0,0,0.154333,0,9.58582,0.0%,0.0%,1.6%,0.0%,98.4%
263.2,31.8768,1.10754,1047.14,0,0,0.154326,0,9.59485,0.0%,0.0%,1.6%,0.0%,98.4%
263.15,31.7087,1.10792,1047.31,0,0,0.154317,0,9.60374,0.0%,0.0%,1.6%,0.0%,98.4%
263.1,31.5427,1.1083,1047.48,0,0,0.154308,0,9.61251,0.0%,0.0%,1.6%,0.0%,98.4%
263.05,31.3787,1.10868,1047.66,0,0,0.154298,0,9.62115,0.0%,0.0%,1.6%,0.0%,98.4%
263,31.2308,1.10916,1047.81,0,0,0.15323,0,9.62449,0.0%,0.0%,1.6%,0.0%,98.4%
262.95,31.0705,1.10954,1047.98,0,0,0.153218,0,9.63297,0.0%,0.0%,1.6%,0.0%,98.4%
262.9,30.9122,1.10992,1048.15,0,0,0.153205,0,9.64133,0.0%,0.0%,1.6%,0.0%,98.4%
262.85,30.7558,1.1103,1048.31,0,0,0.153191,0,9.64957,0.0%,0.0%,1.6%,0.0%,98.4%
262.8,30.6012,1.11068,1048.47,0,0,0.153176,0,9.65771,0.0%,0.0%,1.6%,0.0%,98.4%
262.75,30.4484,1.11106,1048.63,0,0,0.15316,0,9.66573,0.0%,0.0%,1.6%,0.0%,98.4%
262.7,30.2975,1.11144,1048.79,0,0,0.153143,0,9.67364,0.0%,0.0%,1.6%,0.0%,98.4%
262.65,30.1483,1.11181,1048.94,0,0,0.153126,0,9.68145,0.0%,0.0%,1.6%,0.0%,98.4%
262.6,30.0008,1.11219,1049.1,0,0,0.153107,0,9.68915,0.0%,0.0%,1.6%,0.0%,98.4%
262.55,29.855,1.11257,1049.25,0,0,0.153088,0,9.69675,0.0%,0.0%,1.6%,0.0%,98.4%
262.5,29.7108,1.11294,1049.4,0,0,0.153068,0,9.70425,0.0%,0.0%,1.6%,0.0%,98.4%
262.45,29.5684,1.11332,1049.55,0,0,0.153047,0,9.71165,0.0%,0.0%,1.6%,0.0%,98.4%
262.4,29.4275,1.1137,1049.7,0,0,0.153026,0,9.71895,0.0%,0.0%,1.6%,0.0%,98.4%
262.35,29.2882,1.11407,1049.84,0,0,0.153004,0,9.72616,0.0%,0.0%,1.5%,0.0%,98.5%
262.3,29.1504,1.11445,1049.99,0,0,0.152981,0,9.73327,0.0%,0.0%,1.5%,0.0%,98.5%
262.25,29.0143,1.11482,1050.13,0,0,0.152957,0,9.74029,0.0%,0.0%,1.5%,0.0%,98.5%
262.2,28.8796,1.1152,1050.27,0,0,0.152933,0,9.74723,0.0%,0.0%,1.5%,0.0%,98.5%
262.15,28.7463,1.11557,1050.41,0,0,0.152908,0,9.75407,0.0%,0.0%,1.5%,0.0%,98.5%
262.1,28.6146,1.11595,1050.55,0,0,0.152882,0,9.76082,0.0%,0.0%,1.5%,0.0%,98.5%
262.05,28.4842,1.11632,1050.68,0,0,0.152856,0,9.76749,0.0%,0.0%,1.5%,0.0%,98.5%
262,28.3553,1.11669,1050.82,0,0,0.152829,0,9.77408,0.0%,0.0%,1.5%,0.0%,98.5%
261.95,28.2278,1.11707,1050.95,0,0,0.152802,0,9.78058,0.0%,0.0%,1.5%,0.0%,98.5%
261.9,28.1016,1.11744,1051.08,0,0,0.152774,0,9.787,0.0%,0.0%,1.5%,0.0%,98.5%
261.85,27.9768,1.11781,1051.21,0,0,0.152746,0,9.79334,0.0%,0.0%,1.5%,0.0%,98.5%
261.8,27.8533,1.11819,1051.34,0,0,0.152716,0,9.7996,0.0%,0.0%,1.5%,0.0%,98.5%
261.75,27.7311,1.11856,1051.47,0,0,0.152687,0,9.80579,0.0%,0.0%,1.5%,0.0%,98.5%
261.7,27.6102,1.11893,1051.6,0,0,0.152657,0,9.8119,0.0%,0.0%,1.5%,0.0%,98.5%
261.65,27.4905,1.1193,1051.72,0,0,0.152626,0,9.81792,0.0%,0.0%,1.5%,0.0%,98.5%
261.6,27.3721,1.11967,1051.85,0,0,0.152595,0,9.82389,0.0%,0.0%,1.5%,0.0%,98.5%
261.55,27.2549,1.12004,1051.97,0,0,0.152563,0,9.82978,0.0%,0.0%,1.5%,0.0%,98.5%
261.5,27.1389,1.12041,1052.09,0,0,0.152531,0,9.83559,0.0%,0.0%,1.5%,0.0%,98.5%
261.45,27.0241,1.12078,1052.21,0,0,0.152498,0,9.84134,0.0%,0.0%,1.5%,0.0%,98.5%
261.4,26.9104,1.12115,1052.33,0,0,0.152465,0,9.84702,0.0%,0.0%,1.5%,0.0%,98.5%
261.35,26.7979,1.12152,1052.45,0,0,0.152432,0,9.85263,0.0%,0.0%,1.5%,0.0%,98.5%
261.3,26.6866,1.12189,1052.56,0,0,0.152397,0,9.85818,0.0%,0.0%,1.5%,0.0%,98.5%
261.25,26.5763,1.12226,1052.68,0,0,0.152364,0,9.86365,0.0%,0.0%,1.5%,0.0%,98.5%
261.2,26.4671,1.12263,1052.79,0,0,0.152329,0,9.86906,0.0%,0.0%,1.5%,0.0%,98.5%
261.15,26.359,1.123,1052.91,0,0,0.152294,0,9.87441,0.0%,0.0%,1.5%,0.0%,98.5%
261.1,26.252,1.12337,1053.02,0,0,0.152258,0,9.87969,0.0%,0.0%,1.5%,0.0%,98.5%
261.05,26.146,1.12373,1053.13,0,0,0.152222,0,9.88492,0.0%,0.0%,1.5%,0.0%,98.5%
261,26.0411,1.1241,1053.24,0,0,0.152186,0,9.89008,0.0%,0.0%,1.5%,0.0%,98.5%
260.95,25.9372,1.12447,1053.35,0,0,0.152149,0,9.89519,0.0%,0.0%,1.5%,0.0%,98.5%
260.9,25.8343,1.12483,1053.46,0,0,0.152112,0,9.90023,0.0%,0.0%,1.5%,0.0%,98.5%
260.85,25.7323,1.1252,1053.56,0,0,0.152075,0,9.90522,0.0%,0.0%,1.5%,0.0%,98.5%
260.8,25.6314,1.12557,1053.67,0,0,0.152037,0,9.91015,0.0%,0.0%,1.5%,0.0%,98.5%
260.75,25.5314,1.12593,1053.77,0,0,0.151999,0,9.91503,0.0%,0.0%,1.5%,0.0%,98.5%
260.7,25.4323,1.1263,1053.88,0,0,0.151961,0,9.91984,0.0%,0.0%,1.5%,0.0%,98.5%
260.65,25.3342,1.12666,1053.98,0,0,0.151922,0,9.92461,0.0%,0.0%,1.5%,0.0%,98.5%
260.6,25.2371,1.12703,1054.08,0,0,0.151883,0,9.92932,0.0%,0.0%,1.5%,0.0%,98.5%
260.55,25.1408,1.12739,1054.18,0,0,0.151844,0,9.93398,0.0%,0.0%,1.5%,0.0%,98.5%
260.5,25.0454,1.12776,1054.28,0,0,0.151805,0,9.93859,0.0%,0.0%,1.5%,0.0%,98.5%
260.45,24.9509,1.12812,1054.38,0,0,0.151765,0,9.94314,0.0%,0.0%,1.5%,0.0%,98.5%
260.4,24.8573,1.12848,1054.48,0,0,0.151725,0,9.94765,0.0%,0.0%,1.5%,0.0%,98.5%
260.35,24.7644,1.12885,1054.58,0,0,0.151685,0,9.9521,0.0%,0.0%,1.5%,0.0%,98.5%
260.3,24.6726,1.12921,1054.67,0,0,0.151644,0,9.95651,0.0%,0.0%,1.5%,0.0%,98.5%
260.25,24.5814,1.12958,1054.77,0,0,0.151603,0,9.96086,0.0%,0.0%,1.5%,0.0%,98.5%
260.2,24.4911,1.12994,1054.86,0,0,0.151562,0,9.96517,0.0%,0.0%,1.5%,0.0%,98.5%
