T(K),Vsol (cm3),œÅsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,,Vol%,,,,
239.85,6.34768,1.23608,1072.57,1.68703,0.151961,0.211737,0,10.2218,13.7%,1.2%,1.7%,0.0%,83.3%
239.8,6.31649,1.23615,1072.6,1.69446,0.153003,0.212048,0,10.221,13.8%,1.2%,1.7%,0.0%,83.2%
239.75,6.28562,1.23625,1072.62,1.70179,0.15403,0.212354,0,10.2201,13.8%,1.3%,1.7%,0.0%,83.2%
239.7,6.25512,1.23632,1072.65,1.70905,0.155049,0.212656,0,10.2193,13.9%,1.3%,1.7%,0.0%,83.1%
239.65,6.22493,1.23642,1072.68,1.7162,0.156051,0.212954,0,10.2185,13.9%,1.3%,1.7%,0.0%,83.1%
239.6,6.19508,1.2365,1072.7,1.72329,0.157046,0.213249,0,10.2178,14.0%,1.3%,1.7%,0.0%,83.0%
239.55,6.16554,1.2366,1072.73,1.73028,0.158025,0.213539,0,10.217,14.0%,1.3%,1.7%,0.0%,82.9%
239.5,6.13632,1.23669,1072.75,1.73719,0.158996,0.213826,0,10.2162,14.1%,1.3%,1.7%,0.0%,82.9%
239.45,6.10742,1.23679,1072.78,1.74403,0.159955,0.214108,0,10.2155,14.1%,1.3%,1.7%,0.0%,82.8%
239.4,6.07883,1.23688,1072.8,1.7508,0.160904,0.214388,0,10.2147,14.2%,1.3%,1.7%,0.0%,82.8%
239.35,6.05053,1.23698,1072.82,1.75748,0.161841,0.214663,0,10.214,14.2%,1.3%,1.7%,0.0%,82.7%
239.3,6.02271,1.23693,1072.85,1.76424,0.162791,0.214937,0,10.2133,14.3%,1.3%,1.7%,0.0%,82.7%
239.25,5.99483,1.23717,1072.87,1.77063,0.163685,0.215203,0,10.2126,14.3%,1.3%,1.7%,0.0%,82.6%
239.2,5.96741,1.23728,1072.89,1.77709,0.164591,0.215468,0,10.2119,14.4%,1.3%,1.7%,0.0%,82.6%
239.15,5.94027,1.23739,1072.92,1.78348,0.165486,0.21573,0,10.2112,14.4%,1.3%,1.7%,0.0%,82.5%
239.1,5.9134,1.2375,1072.94,1.78978,0.166371,0.215988,0,10.2105,14.5%,1.3%,1.7%,0.0%,82.5%
239.05,5.88662,1.23776,1072.96,1.79589,0.167224,0.216241,0,10.2098,14.5%,1.3%,1.7%,0.0%,82.4%
239,5.86054,1.23769,1072.99,1.80224,0.168119,0.216494,0,10.2091,14.5%,1.4%,1.7%,0.0%,82.4%
238.95,5.83459,1.23774,1073.01,1.80842,0.168987,0.216743,0,10.2084,14.6%,1.4%,1.7%,0.0%,82.3%
238.9,5.80869,1.23793,1073.03,1.81439,0.169823,0.216988,0,10.2078,14.6%,1.4%,1.7%,0.0%,82.3%
238.85,5.78316,1.23805,1073.05,1.82037,0.170661,0.21723,0,10.2071,14.7%,1.4%,1.7%,0.0%,82.2%
238.8,5.75787,1.23818,1073.07,1.82628,0.17149,0.217469,0,10.2065,14.7%,1.4%,1.8%,0.0%,82.2%
238.75,5.73288,1.23827,1073.09,1.83215,0.172314,0.217705,0,10.2059,14.7%,1.4%,1.8%,0.0%,82.1%
238.7,5.70811,1.23839,1073.12,1.83795,0.173127,0.217938,0,10.2052,14.8%,1.4%,1.8%,0.0%,82.1%
238.65,5.68356,1.23852,1073.14,1.84367,0.17393,0.218168,0,10.2046,14.8%,1.4%,1.8%,0.0%,82.0%
238.6,5.65949,1.23849,1073.16,1.84948,0.174746,0.218396,0,10.204,14.9%,1.4%,1.8%,0.0%,82.0%
238.55,5.63519,1.23878,1073.18,1.85494,0.175511,0.218619,0,10.2034,14.9%,1.4%,1.8%,0.0%,81.9%
238.5,5.61135,1.23891,1073.2,1.86049,0.176289,0.21884,0,10.2028,14.9%,1.4%,1.8%,0.0%,81.9%
238.45,5.58779,1.23902,1073.22,1.866,0.177062,0.219059,0,10.2022,15.0%,1.4%,1.8%,0.0%,81.9%
238.4,5.56442,1.23914,1073.24,1.87144,0.177826,0.219275,0,10.2016,15.0%,1.4%,1.8%,0.0%,81.8%
238.35,5.5412,1.23932,1073.26,1.87678,0.178575,0.219488,0,10.201,15.0%,1.4%,1.8%,0.0%,81.8%
238.3,5.51827,1.23945,1073.28,1.88211,0.179322,0.219699,0,10.2005,15.1%,1.4%,1.8%,0.0%,81.7%
238.25,5.49553,1.2396,1073.3,1.88737,0.18006,0.219906,0,10.1999,15.1%,1.4%,1.8%,0.0%,81.7%
238.2,5.47303,1.23974,1073.31,1.89259,0.180792,0.220112,0,10.1993,15.1%,1.4%,1.8%,0.0%,81.6%
238.15,5.45073,1.23988,1073.33,1.89775,0.181517,0.220314,0,10.1988,15.2%,1.5%,1.8%,0.0%,81.6%
238.1,5.42862,1.24003,1073.35,1.90285,0.182233,0.220514,0,10.1982,15.2%,1.5%,1.8%,0.0%,81.6%
238.05,5.40674,1.24017,1073.37,1.90791,0.182944,0.220712,0,10.1977,15.3%,1.5%,1.8%,0.0%,81.5%
238,5.38502,1.24033,1073.39,1.91291,0.183644,0.220907,0,10.1972,15.3%,1.5%,1.8%,0.0%,81.5%
237.95,5.36353,1.24048,1073.41,1.91786,0.18434,0.2211,0,10.1966,15.3%,1.5%,1.8%,0.0%,81.4%
237.9,5.34223,1.24063,1073.43,1.92277,0.185029,0.22129,0,10.1961,15.4%,1.5%,1.8%,0.0%,81.4%
237.85,5.32115,1.24077,1073.44,1.92764,0.185713,0.221478,0,10.1956,15.4%,1.5%,1.8%,0.0%,81.4%
237.8,5.30018,1.24095,1073.46,1.93243,0.186385,0.221664,0,10.1951,15.4%,1.5%,1.8%,0.0%,81.3%
237.75,5.27943,1.24112,1073.48,1.93718,0.187051,0.221847,0,10.1946,15.4%,1.5%,1.8%,0.0%,81.3%
237.7,5.25887,1.24128,1073.5,1.94189,0.187713,0.222028,0,10.1941,15.5%,1.5%,1.8%,0.0%,81.3%
237.65,5.2385,1.24145,1073.51,1.94656,0.188369,0.222207,0,10.1936,15.5%,1.5%,1.8%,0.0%,81.2%
237.6,5.21839,1.24156,1073.53,1.95122,0.189023,0.222383,0,10.1931,15.5%,1.5%,1.8%,0.0%,81.2%
237.55,5.19822,1.24183,1073.55,1.95573,0.189655,0.222557,0,10.1926,15.6%,1.5%,1.8%,0.0%,81.1%
237.5,5.17841,1.24197,1073.56,1.96027,0.190294,0.222729,0,10.1921,15.6%,1.5%,1.8%,0.0%,81.1%
237.45,5.15875,1.24214,1073.58,1.96476,0.190925,0.222899,0,10.1917,15.6%,1.5%,1.8%,0.0%,81.1%
237.4,5.13922,1.24233,1073.6,1.9692,0.191548,0.223067,0,10.1912,15.7%,1.5%,1.8%,0.0%,81.0%
237.35,5.11985,1.24253,1073.61,1.97359,0.192164,0.223233,0,10.1907,15.7%,1.5%,1.8%,0.0%,81.0%
237.3,5.10083,1.24262,1073.63,1.97801,0.192786,0.223397,0,10.1903,15.7%,1.5%,1.8%,0.0%,81.0%
237.25,5.08165,1.2429,1073.65,1.98226,0.193382,0.223558,0,10.1898,15.7%,1.5%,1.8%,0.0%,80.9%
237.2,5.06279,1.24309,1073.66,1.98653,0.193983,0.223717,0,10.1894,15.8%,1.5%,1.8%,0.0%,80.9%
237.15,5.04403,1.24331,1073.68,1.99074,0.194574,0.223875,0,10.1889,15.8%,1.5%,1.8%,0.0%,80.9%
237.1,5.02553,1.24348,1073.69,1.99495,0.195166,0.22403,0,10.1885,15.8%,1.5%,1.8%,0.0%,80.8%
237.05,5.00714,1.24368,1073.71,1.9991,0.19575,0.224184,0,10.188,15.9%,1.6%,1.8%,0.0%,80.8%
237,4.98873,1.24397,1073.72,2.00316,0.19632,0.224335,0,10.1876,15.9%,1.6%,1.8%,0.0%,80.8%
236.95,4.97075,1.24411,1073.74,2.00727,0.196898,0.224485,0,10.1872,15.9%,1.6%,1.8%,0.0%,80.7%
236.9,4.95282,1.2443,1073.75,2.01132,0.197467,0.224632,0,10.1868,15.9%,1.6%,1.8%,0.0%,80.7%
236.85,4.93502,1.24451,1073.77,2.01531,0.198029,0.224778,0,10.1864,16.0%,1.6%,1.8%,0.0%,80.7%
236.8,4.91732,1.24475,1073.78,2.01926,0.198585,0.224922,0,10.1859,16.0%,1.6%,1.8%,0.0%,80.7%
236.75,4.9002,1.24474,1073.8,2.02332,0.199157,0.225065,0,10.1855,16.0%,1.6%,1.8%,0.0%,80.6%
236.7,4.88242,1.24518,1073.81,2.02707,0.199683,0.225204,0,10.1851,16.0%,1.6%,1.8%,0.0%,80.6%
236.65,4.86515,1.24541,1073.83,2.03092,0.200225,0.225342,0,10.1847,16.1%,1.6%,1.8%,0.0%,80.6%
236.6,4.84843,1.24543,1073.84,2.03486,0.20078,0.22548,0,10.1843,16.1%,1.6%,1.8%,0.0%,80.5%
236.55,4.8313,1.24574,1073.86,2.03859,0.201305,0.225614,0,10.1839,16.1%,1.6%,1.8%,0.0%,80.5%
236.5,4.81424,1.24609,1073.87,2.04226,0.201822,0.225747,0,10.1835,16.1%,1.6%,1.8%,0.0%,80.5%
236.45,4.79774,1.24621,1073.88,2.04604,0.202355,0.225878,0,10.1832,16.2%,1.6%,1.8%,0.0%,80.5%
236.4,4.78087,1.2466,1073.9,2.04963,0.20286,0.226007,0,10.1828,16.2%,1.6%,1.8%,0.0%,80.4%
236.35,4.7645,1.2468,1073.91,2.0533,0.203377,0.226135,0,10.1824,16.2%,1.6%,1.8%,0.0%,80.4%
236.3,4.74808,1.24709,1073.93,2.05689,0.203882,0.226261,0,10.182,16.2%,1.6%,1.8%,0.0%,80.4%
236.25,4.73185,1.24735,1073.94,2.06046,0.204386,0.226385,0,10.1816,16.3%,1.6%,1.8%,0.0%,80.3%
236.2,4.71579,1.24759,1073.95,2.06401,0.204887,0.226508,0,10.1813,16.3%,1.6%,1.8%,0.0%,80.3%
236.15,4.69975,1.24788,1073.97,2.06751,0.20538,0.226629,0,10.1809,16.3%,1.6%,1.8%,0.0%,80.3%
236.1,4.68387,1.24815,1073.98,2.07098,0.20587,0.226748,0,10.1806,16.3%,1.6%,1.8%,0.0%,80.3%
236.05,4.66783,1.24858,1073.99,2.07434,0.206344,0.226865,0,10.1802,16.3%,1.6%,1.8%,0.0%,80.2%
236,4.65248,1.2487,1074.01,2.07784,0.206838,0.226982,0,10.1798,16.4%,1.6%,1.8%,0.0%,80.2%
235.95,4.63703,1.24895,1074.02,2.08125,0.207319,0.227096,0,10.1795,16.4%,1.6%,1.8%,0.0%,80.2%
235.9,4.6216,1.24924,1074.03,2.0846,0.207791,0.227209,0,10.1791,16.4%,1.6%,1.8%,0.0%,80.2%
235.85,4.60626,1.24955,1074.04,2.08791,0.20826,0.22732,0,10.1788,16.4%,1.6%,1.8%,0.0%,80.1%
235.8,4.59153,1.2496,1074.06,2.09134,0.208743,0.22743,0,10.1785,16.5%,1.6%,1.8%,0.0%,80.1%
235.75,4.57604,1.25011,1074.07,2.09449,0.209189,0.227538,0,10.1781,16.5%,1.6%,1.8%,0.0%,80.1%
235.7,4.56099,1.25045,1074.08,2.09771,0.209644,0.227644,0,10.1778,16.5%,1.6%,1.8%,0.0%,80.1%
235.65,4.54611,1.25076,1074.09,2.10092,0.210098,0.227749,0,10.1775,16.5%,1.7%,1.8%,0.0%,80.0%
235.6,4.53132,1.25108,1074.11,2.10409,0.210547,0.227852,0,10.1771,16.5%,1.7%,1.8%,0.0%,80.0%
235.55,4.51668,1.25138,1074.12,2.10725,0.210995,0.227954,0,10.1768,16.6%,1.7%,1.8%,0.0%,80.0%
235.5,4.50212,1.2517,1074.13,2.11038,0.211437,0.228054,0,10.1765,16.6%,1.7%,1.8%,0.0%,80.0%
235.45,4.48762,1.25204,1074.14,2.11347,0.211875,0.228152,0,10.1762,16.6%,1.7%,1.8%,0.0%,79.9%
235.4,4.47373,1.25212,1074.15,2.11666,0.212327,0.22825,0,10.1758,16.6%,1.7%,1.8%,0.0%,79.9%
235.35,4.45893,1.25273,1074.17,2.11957,0.21274,0.228345,0,10.1755,16.6%,1.7%,1.8%,0.0%,79.9%
235.3,4.44479,1.25304,1074.18,2.1226,0.21317,0.228439,0,10.1752,16.7%,1.7%,1.8%,0.0%,79.9%
235.25,4.43066,1.25341,1074.19,2.12558,0.213593,0.228531,0,10.1749,16.7%,1.7%,1.8%,0.0%,79.8%
235.2,4.41614,1.25403,1074.2,2.12842,0.213996,0.228622,0,10.1746,16.7%,1.7%,1.8%,0.0%,79.8%
235.15,4.40231,1.25435,1074.21,2.13138,0.214417,0.228711,0,10.1743,16.7%,1.7%,1.8%,0.0%,79.8%
235.1,4.38894,1.25448,1074.22,2.1344,0.214846,0.228799,0,10.174,16.7%,1.7%,1.8%,0.0%,79.8%
235.05,4.37538,1.25476,1074.23,2.13732,0.215262,0.228886,0,10.1737,16.8%,1.7%,1.8%,0.0%,79.8%
235,4.36152,1.25525,1074.25,2.14014,0.215662,0.228971,0,10.1734,16.8%,1.7%,1.8%,0.0%,79.7%
234.95,4.34796,1.25563,1074.26,2.14297,0.216066,0.229054,0,10.1731,16.8%,1.7%,1.8%,0.0%,79.7%
234.9,4.33449,1.25602,1074.27,2.14579,0.216467,0.229136,0,10.1728,16.8%,1.7%,1.8%,0.0%,79.7%
234.85,4.32108,1.25642,1074.28,2.14857,0.216864,0.229216,0,10.1725,16.8%,1.7%,1.8%,0.0%,79.7%
234.8,4.30776,1.25683,1074.29,2.15133,0.217258,0.229295,0,10.1722,16.8%,1.7%,1.8%,0.0%,79.7%
234.75,4.2945,1.25725,1074.3,2.15407,0.217649,0.229372,0,10.172,16.9%,1.7%,1.8%,0.0%,79.6%
234.7,4.28073,1.25798,1074.31,2.15665,0.218018,0.229447,0,10.1717,16.9%,1.7%,1.8%,0.0%,79.6%
234.65,4.26819,1.25813,1074.32,2.15946,0.218419,0.229522,0,10.1714,16.9%,1.7%,1.8%,0.0%,79.6%
234.6,4.25575,1.25828,1074.33,2.16225,0.218818,0.229595,0,10.1711,16.9%,1.7%,1.8%,0.0%,79.6%
234.55,4.24235,1.25896,1074.34,2.16479,0.219183,0.229666,0,10.1708,16.9%,1.7%,1.8%,0.0%,79.6%
234.5,4.22939,1.25946,1074.35,2.16739,0.219556,0.229736,0,10.1706,16.9%,1.7%,1.8%,0.0%,79.5%
234.45,4.21664,1.2599,1074.36,2.17,0.21993,0.229804,0,10.1703,17.0%,1.7%,1.8%,0.0%,79.5%
234.4,4.20384,1.26041,1074.37,2.17256,0.220298,0.22987,0,10.17,17.0%,1.7%,1.8%,0.0%,79.5%
234.35,4.19122,1.26087,1074.38,2.17512,0.220665,0.229935,0,10.1698,17.0%,1.7%,1.8%,0.0%,79.5%
234.3,4.17869,1.26133,1074.39,2.17766,0.221031,0.229999,0,10.1695,17.0%,1.7%,1.8%,0.0%,79.5%
234.25,4.16609,1.26187,1074.4,2.18015,0.22139,0.230061,0,10.1692,17.0%,1.7%,1.8%,0.0%,79.4%
234.2,4.15362,1.26239,1074.41,2.18264,0.221748,0.230121,0,10.169,17.0%,1.7%,1.8%,0.0%,79.4%
234.15,4.14134,1.26285,1074.42,2.18512,0.222107,0.23018,0,10.1687,17.1%,1.7%,1.8%,0.0%,79.4%
234.1,4.12838,1.26369,1074.43,2.18744,0.222444,0.230236,0,10.1685,17.1%,1.7%,1.8%,0.0%,79.4%
234.05,4.11666,1.26396,1074.44,2.18997,0.222808,0.230292,0,10.1682,17.1%,1.7%,1.8%,0.0%,79.4%
234,4.10446,1.2645,1074.45,2.19237,0.223156,0.230346,0,10.1679,17.1%,1.7%,1.8%,0.0%,79.4%
233.95,4.0923,1.26507,1074.46,2.19475,0.223501,0.230398,0,10.1677,17.1%,1.7%,1.8%,0.0%,79.3%
233.9,4.08026,1.26562,1074.47,2.19711,0.223844,0.230449,0,10.1674,17.1%,1.7%,1.8%,0.0%,79.3%
233.85,4.06817,1.26622,1074.48,2.19944,0.224183,0.230498,0,10.1672,17.2%,1.7%,1.8%,0.0%,79.3%
233.8,4.05568,1.26708,1074.49,2.20166,0.224508,0.230544,0,10.167,17.2%,1.8%,1.8%,0.0%,79.3%
233.75,4.04424,1.26744,1074.5,2.20405,0.224855,0.23059,0,10.1667,17.2%,1.8%,1.8%,0.0%,79.3%
233.7,4.0324,1.26804,1074.51,2.20633,0.225188,0.230634,0,10.1665,17.2%,1.8%,1.8%,0.0%,79.2%
233.65,4.02055,1.26869,1074.52,2.20858,0.225518,0.230676,0,10.1662,17.2%,1.8%,1.8%,0.0%,79.2%
233.6,4.00876,1.26935,1074.53,2.21081,0.225845,0.230715,0,10.166,17.2%,1.8%,1.8%,0.0%,79.2%
233.55,3.99751,1.26977,1074.54,2.21311,0.226181,0.230754,0,10.1657,17.2%,1.8%,1.8%,0.0%,79.2%
233.5,3.98552,1.2706,1074.54,2.21525,0.226497,0.23079,0,10.1655,17.3%,1.8%,1.8%,0.0%,79.2%
233.45,3.97383,1.27132,1074.55,2.21741,0.226816,0.230824,0,10.1653,17.3%,1.8%,1.8%,0.0%,79.2%
233.4,3.96217,1.27206,1074.56,2.21955,0.227133,0.230857,0,10.165,17.3%,1.8%,1.8%,0.0%,79.2%
233.35,3.95059,1.27279,1074.57,2.22168,0.227449,0.230887,0,10.1648,17.3%,1.8%,1.8%,0.0%,79.1%
233.3,3.93907,1.27354,1074.58,2.22379,0.227762,0.230916,0,10.1645,17.3%,1.8%,1.8%,0.0%,79.1%
233.25,3.92774,1.27422,1074.59,2.22591,0.228077,0.230942,0,10.1643,17.3%,1.8%,1.8%,0.0%,79.1%
233.2,3.9167,1.2748,1074.6,2.22806,0.228395,0.230967,0,10.1641,17.3%,1.8%,1.8%,0.0%,79.1%
233.15,3.90477,1.27586,1074.61,2.23002,0.228691,0.230989,0,10.1639,17.3%,1.8%,1.8%,0.0%,79.1%
233.1,3.89342,1.27666,1074.61,2.23206,0.228997,0.231009,0,10.1636,17.4%,1.8%,1.8%,0.0%,79.1%
233.05,3.88213,1.27747,1074.62,2.23408,0.229301,0.231026,0,10.1634,17.4%,1.8%,1.8%,0.0%,79.0%
233,3.87087,1.2783,1074.63,2.23609,0.229603,0.231042,0,10.1632,17.4%,1.8%,1.8%,0.0%,79.0%
232.95,3.85955,1.27919,1074.64,2.23806,0.229901,0.231055,0,10.1629,17.4%,1.8%,1.8%,0.0%,79.0%
232.9,3.84797,1.28026,1074.65,2.23996,0.230192,0.231065,0,10.1627,17.4%,1.8%,1.8%,0.0%,79.0%
232.85,3.83775,1.28067,1074.65,2.24207,0.230506,0.231074,0,10.1625,17.4%,1.8%,1.8%,0.0%,79.0%
232.8,3.82628,1.28174,1074.66,2.24394,0.230794,0.231079,0,10.1623,17.4%,1.8%,1.8%,0.0%,79.0%
232.75,3.81475,1.28288,1074.67,2.24579,0.231079,0.231082,0,10.162,17.4%,1.8%,1.8%,0.0%,79.0%
232.7,3.80329,1.28403,1074.68,2.24762,0.231363,0.231082,0,10.1618,17.5%,1.8%,1.8%,0.0%,78.9%
232.65,3.7923,1.28496,1074.69,2.24951,0.231654,0.231079,0,10.1616,17.5%,1.8%,1.8%,0.0%,78.9%
232.6,3.78124,1.28597,1074.69,2.25136,0.231941,0.231073,0,10.1614,17.5%,1.8%,1.8%,0.0%,78.9%
232.55,3.77008,1.28707,1074.7,2.25318,0.232224,0.231064,0,10.1612,17.5%,1.8%,1.8%,0.0%,78.9%
232.5,3.75896,1.28818,1074.71,2.25498,0.232506,0.231052,0,10.1609,17.5%,1.8%,1.8%,0.0%,78.9%
232.45,3.74791,1.28928,1074.72,2.25678,0.232788,0.231037,0,10.1607,17.5%,1.8%,1.8%,0.0%,78.9%
232.4,3.73688,1.29041,1074.72,2.25855,0.233068,0.231019,0,10.1605,17.5%,1.8%,1.8%,0.0%,78.9%
232.35,3.72581,1.2916,1074.73,2.2603,0.233345,0.230997,0,10.1603,17.5%,1.8%,1.8%,0.0%,78.9%
232.3,3.71456,1.29291,1074.74,2.26201,0.233618,0.230971,0,10.1601,17.6%,1.8%,1.8%,0.0%,78.8%
232.25,3.70273,1.29456,1074.75,2.2636,0.23388,0.230941,0,10.1599,17.6%,1.8%,1.8%,0.0%,78.8%
232.2,3.69241,1.29547,1074.75,2.26541,0.234166,0.230907,0,10.1596,17.6%,1.8%,1.8%,0.0%,78.8%
232.15,3.68209,1.29641,1074.76,2.26719,0.23445,0.23087,0,10.1594,17.6%,1.8%,1.8%,0.0%,78.8%
232.1,3.67015,1.29822,1074.77,2.26872,0.234706,0.230828,0,10.1592,17.6%,1.8%,1.8%,0.0%,78.8%
232.05,3.65756,1.30039,1074.77,2.27013,0.234951,0.230781,0,10.159,17.6%,1.8%,1.8%,0.0%,78.8%
232,3.64788,1.30112,1074.78,2.27196,0.235241,0.230729,0,10.1588,17.6%,1.8%,1.8%,0.0%,78.8%
231.95,3.63665,1.30267,1074.79,2.27354,0.235505,0.230673,0,10.1586,17.6%,1.8%,1.8%,0.0%,78.8%
231.9,3.62596,1.30398,1074.8,2.27518,0.235777,0.230611,0,10.1583,17.6%,1.8%,1.8%,0.0%,78.7%
231.85,3.6141,1.30592,1074.8,2.27663,0.23603,0.230544,0,10.1581,17.6%,1.8%,1.8%,0.0%,78.7%
231.8,3.60278,1.30763,1074.81,2.27815,0.236291,0.23047,0,10.1579,17.7%,1.8%,1.8%,0.0%,78.7%
231.75,3.59074,1.30975,1074.82,2.27955,0.23654,0.230391,0,10.1577,17.7%,1.8%,1.8%,0.0%,78.7%
231.7,3.57948,1.31151,1074.82,2.28105,0.236801,0.230305,0,10.1575,17.7%,1.8%,1.8%,0.0%,78.7%
231.65,3.56961,1.31258,1074.83,2.28272,0.23708,0.230212,0,10.1573,17.7%,1.8%,1.8%,0.0%,78.7%
231.6,3.55654,1.31535,1074.83,2.28393,0.237314,0.230112,0,10.1571,17.7%,1.8%,1.8%,0.0%,78.7%
231.55,3.54528,1.31722,1074.84,2.28538,0.237574,0.230004,0,10.1569,17.7%,1.8%,1.8%,0.0%,78.7%
231.5,3.53285,1.31974,1074.85,2.28666,0.237817,0.229888,0,10.1567,17.7%,1.8%,1.8%,0.0%,78.7%
231.45,3.52232,1.32131,1074.85,2.28818,0.238086,0.229763,0,10.1564,17.7%,1.8%,1.8%,0.0%,78.7%
231.4,3.51038,1.32366,1074.86,2.28949,0.238336,0.229628,0,10.1562,17.7%,1.8%,1.8%,0.0%,78.6%
231.35,3.49833,1.32611,1074.87,2.29078,0.238585,0.229484,0,10.156,17.7%,1.8%,1.8%,0.0%,78.6%
231.3,3.48535,1.3291,1074.87,2.29193,0.238822,0.229328,0,10.1558,17.7%,1.8%,1.8%,0.0%,78.6%
231.25,3.47389,1.33134,1074.88,2.29327,0.23908,0.229162,0,10.1556,17.8%,1.9%,1.8%,0.0%,78.6%
231.2,3.46146,1.33413,1074.88,2.29448,0.239326,0.228982,0,10.1554,17.8%,1.9%,1.8%,0.0%,78.6%
231.15,3.44889,1.33704,1074.89,2.29565,0.239571,0.22879,0,10.1552,17.8%,1.9%,1.8%,0.0%,78.6%
231.1,3.4357,1.34035,1074.89,2.29673,0.239809,0.228583,0,10.155,17.8%,1.9%,1.8%,0.0%,78.6%
231.05,3.42277,1.34357,1074.9,2.29783,0.240053,0.228361,0,10.1548,17.8%,1.9%,1.8%,0.0%,78.6%
231,1.48181,2.15872,1076.73,3.08748,0.258083,0.0281363,0.182048,9.1831,24.2%,2.0%,0.2%,1.4%,72.1%
230.95,1.46649,2.18974,1076.72,3.08371,0.258065,0.0275441,0.181991,9.18933,24.2%,2.0%,0.2%,1.4%,72.1%
230.9,1.45018,2.22329,1076.7,3.07977,0.258047,0.0269211,0.181927,9.19582,24.2%,2.0%,0.2%,1.4%,72.2%