T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,Vol%,,
,,,,Mirabilite,Dolomite,Magnesite,Mirabilite,Dolomite,Magnesite
271.95,825.419,1.01556,187.812,0,0.0626198,0.191385,0.0%,24.7%,75.3%
271.9,729.361,1.01687,105.316,0,0.0599388,0.192478,0.0%,23.7%,76.3%
271.85,652.674,1.01818,84.0817,0,0.0596754,0.190973,0.0%,23.8%,76.2%
271.8,590.092,1.01949,68.6206,0,0.0594456,0.189748,0.0%,23.9%,76.1%
271.75,538.086,1.0208,57.0269,0,0.0592455,0.188739,0.0%,23.9%,76.1%
271.7,494.206,1.02211,48.1181,0,0.0590712,0.187897,0.0%,23.9%,76.1%
271.65,456.701,1.02343,41.13,0,0.0589188,0.187187,0.0%,23.9%,76.1%
271.6,424.285,1.02474,35.5511,0,0.0587853,0.186584,0.0%,24.0%,76.0%
271.55,395.994,1.02606,31.0288,0,0.0586677,0.186066,0.0%,24.0%,76.0%
271.5,371.092,1.02738,27.3142,0,0.058564,0.185619,0.0%,24.0%,76.0%
271.45,349.005,1.0287,24.227,0,0.058472,0.185232,0.0%,24.0%,76.0%
271.4,329.283,1.03002,21.6345,0,0.0583902,0.184893,0.0%,24.0%,76.0%
271.35,311.565,1.03134,19.4373,0,0.0583174,0.184597,0.0%,24.0%,76.0%
271.3,295.56,1.03267,17.5594,0,0.0582522,0.184335,0.0%,24.0%,76.0%
271.25,281.029,1.034,15.9426,0,0.0581938,0.184105,0.0%,24.0%,76.0%
271.2,267.777,1.03533,14.541,0,0.0581414,0.183901,0.0%,24.0%,76.0%
271.15,255.64,1.03667,13.3185,0,0.0580943,0.183721,0.0%,24.0%,76.0%
271.1,244.48,1.03801,12.2462,0,0.0580518,0.18356,0.0%,24.0%,76.0%
271.05,234.184,1.03935,11.3007,0,0.0580135,0.183418,0.0%,24.0%,76.0%
271,224.65,1.0407,10.4632,0,0.0579789,0.183291,0.0%,24.0%,76.0%
270.95,215.797,1.04206,9.71824,0,0.0579478,0.18318,0.0%,24.0%,76.0%
270.9,207.55,1.04342,9.05283,0,0.0579198,0.183081,0.0%,24.0%,76.0%
270.85,199.847,1.04478,8.45639,0,0.0578946,0.182994,0.0%,24.0%,76.0%
270.8,192.634,1.04616,7.91993,0,0.0578719,0.182917,0.0%,24.0%,76.0%
270.75,185.862,1.04754,7.43608,0,0.0578517,0.18285,0.0%,24.0%,76.0%
270.7,179.488,1.04893,6.9984,0,0.0578337,0.182793,0.0%,24.0%,76.0%
270.65,173.477,1.05033,6.60149,0,0.0578177,0.182744,0.0%,24.0%,76.0%
270.6,167.795,1.05174,6.24087,0,0.0578037,0.182704,0.0%,24.0%,76.0%
270.55,162.413,1.05316,5.91247,0,0.0577915,0.18267,0.0%,24.0%,76.0%
270.5,157.303,1.05459,5.61303,0,0.0577812,0.182645,0.0%,24.0%,76.0%
270.45,152.443,1.05603,5.33959,0,0.0577725,0.182626,0.0%,24.0%,76.0%
270.4,147.811,1.05749,5.08969,0,0.0577656,0.182615,0.0%,24.0%,76.0%
270.35,143.388,1.05897,4.86113,0,0.0577603,0.182611,0.0%,24.0%,76.0%
270.3,139.155,1.06046,4.65218,0,0.0577568,0.182614,0.0%,24.0%,76.0%
270.25,135.096,1.06197,4.46118,0,0.0577549,0.182625,0.0%,24.0%,76.0%
270.2,131.196,1.0635,4.28676,0,0.0577547,0.182642,0.0%,24.0%,76.0%
270.15,127.442,1.06506,4.12801,0,0.0577564,0.182668,0.0%,24.0%,76.0%
270.1,123.095,1.06648,4.67384,0.106817,0.0579957,0.183678,30.7%,16.6%,52.7%
270.05,116.951,1.06739,6.35168,0.408344,0.0586487,0.186434,62.5%,9.0%,28.5%
270,111.358,1.06832,5.78484,0.36914,0.0585403,0.186051,60.1%,9.5%,30.3%
269.95,106.245,1.06926,5.29171,0.334667,0.0584429,0.185706,57.8%,10.1%,32.1%
269.9,101.551,1.07021,4.86099,0.304197,0.0583553,0.185396,55.5%,10.6%,33.8%
269.85,97.2262,1.07118,4.48216,0.276911,0.0582759,0.185113,53.2%,11.2%,35.6%
269.8,93.2265,1.07217,4.14938,0.252556,0.0582047,0.18486,51.0%,11.7%,37.3%
269.75,89.5146,1.07318,3.85501,0.23045,0.0581401,0.184629,48.7%,12.3%,39.0%
269.7,86.0578,1.07423,3.59444,0.210264,0.0580817,0.184421,46.4%,12.8%,40.7%
269.65,82.8271,1.07531,3.36451,0.19183,0.0580297,0.184237,44.2%,13.4%,42.4%
269.6,79.7967,1.07643,3.16145,0.174749,0.0579833,0.184075,41.9%,13.9%,44.2%
269.55,76.945,1.0776,2.98096,0.158325,0.057941,0.183923,39.6%,14.5%,46.0%
269.5,74.2489,1.07883,2.82548,0.143133,0.0579057,0.183805,37.2%,15.0%,47.8%
269.45,71.6886,1.08014,2.69108,0.128184,0.0578755,0.183704,34.7%,15.7%,49.7%
269.4,69.2438,1.08154,2.57921,0.113318,0.0578518,0.18363,31.9%,16.3%,51.8%
269.35,66.8922,1.08307,2.4921,0.098003,0.057836,0.18359,28.9%,17.0%,54.1%
269.3,64.6076,1.08476,2.43537,0.0813731,0.0578309,0.183595,25.2%,17.9%,56.9%
269.25,62.3521,1.0867,2.42324,0.0621184,0.0578436,0.18368,20.5%,19.0%,60.5%
269.2,60.0593,1.08904,2.49085,0.0362862,0.0578894,0.183912,13.0%,20.8%,66.1%
269.15,57.5555,1.09215,2.76106,0,0.0580266,0.184554,0.0%,23.9%,76.1%
269.1,54.3253,1.09653,3.56356,0,0.0584289,0.186412,0.0%,23.9%,76.1%